Date, Open, High, Low, Close, Volume,Company
3/24/2021,355,355,355,355,1000,KUKZ
3/23/2021,362,362,362,362,500,KUKZ
3/18/2021,360,360,360,360,100,KUKZ
3/17/2021,365,365,365,365,100,KUKZ
3/12/2021,365,365,365,365,100,KUKZ
3/2/2021,365,365,365,365,200,KUKZ
3/1/2021,371,371,371,371,100,KUKZ
2/24/2021,370,370,370,370,1100,KUKZ
2/9/2021,370,370,370,370,100,KUKZ
2/8/2021,365,365,365,365,200,KUKZ
2/3/2021,370,370,370,370,100,KUKZ
1/25/2021,365,365,365,365,100,KUKZ
1/14/2021,370,370,370,370,100,KUKZ
12/28/2020,365,365,365,365,100,KUKZ
12/22/2020,370,370,370,370,100,KUKZ
12/3/2020,365,365,365,365,100,KUKZ
11/23/2020,365,365,365,365,100,KUKZ
11/12/2020,365,365,365,365,100,KUKZ
11/11/2020,373,380,365,368.5,2300,KUKZ
11/9/2020,365,365,365,365,100,KUKZ
11/6/2020,370,375,370,372.5,200,KUKZ
11/5/2020,375,375,370,370.75,1000,KUKZ
11/2/2020,370,370,370,370,100,KUKZ
10/29/2020,370,370,370,370,100,KUKZ
10/28/2020,370,370,370,370,100,KUKZ
10/27/2020,375,375,375,375,100,KUKZ
10/23/2020,375,375,375,375,100,KUKZ
10/22/2020,380,380,380,380,100,KUKZ
10/16/2020,380,380,380,380,100,KUKZ
10/13/2020,380,380,380,380,700,KUKZ
10/12/2020,380,380,380,380,100,KUKZ
9/18/2020,385,385,385,385,100,KUKZ
9/7/2020,391,391,391,391,100,KUKZ
8/21/2020,391,391,391,391,100,KUKZ
8/17/2020,390,390,385,385.25,1600,KUKZ
8/13/2020,391,391,391,391,100,KUKZ
8/12/2020,397,397,397,397,100,KUKZ
8/11/2020,397,397,397,397,300,KUKZ
8/6/2020,375,375,375,375,100,KUKZ
7/24/2020,396,396,395,395.75,300,KUKZ
7/20/2020,360,360,360,360,100,KUKZ
7/13/2020,328,328,328,328,100,KUKZ
6/26/2020,325,325,325,325,200,KUKZ
6/22/2020,340,340,340,340,200,KUKZ
6/18/2020,332,332,332,332,100,KUKZ
6/16/2020,330,332,320,321.75,3500,KUKZ
6/5/2020,330,330,330,330,200,KUKZ
6/2/2020,321,321,321,321,100,KUKZ
5/22/2020,340,340,320,320.5,4900,KUKZ
5/21/2020,350,360,350,355,200,KUKZ
5/20/2020,360,360,360,360,200,KUKZ
4/29/2020,341,341,341,341,400,KUKZ
4/22/2020,310,310,310,310,100,KUKZ
4/14/2020,302,302,301,301,3800,KUKZ
4/6/2020,301,301,301,301,100,KUKZ
3/24/2020,300,300,300,300,2400,KUKZ
3/23/2020,320,320,320,320,300,KUKZ
3/18/2020,320,320,320,320,2600,KUKZ
3/12/2020,319.75,320,319,319.75,1200,KUKZ
2/28/2020,319,320,318,319,200,KUKZ
2/27/2020,320,320,320,320,100,KUKZ
2/24/2020,318,325,315,318,500,KUKZ
2/10/2020,320,320,320,320,100,KUKZ
1/30/2020,320,320,320,320,300,KUKZ
1/29/2020,340,340,340,340,100,KUKZ
1/28/2020,310,310,310,310,100,KUKZ
1/27/2020,310,310,310,310,100,KUKZ
1/20/2020,310,310,310,310,200,KUKZ
1/16/2020,340.25,341,340,340.25,1600,KUKZ
1/9/2020,360,360,360,360,100,KUKZ
1/3/2020,340,340,340,340,100,KUKZ
12/24/2019,340,340,340,340,100,KUKZ
12/20/2019,340,340,340,340,100,KUKZ
12/16/2019,350,350,350,350,1100,KUKZ
12/9/2019,350,350,350,350,13000,KUKZ
12/5/2019,350.75,355,350,350.75,600,KUKZ
