Date, Open, High, Low, Close, Volume
05/30/18, 335.00, 336.00, 334.00, 335.00, 1000
05/22/18, 351.00, 351.00, 351.00, 351.00, 1500
05/15/18, 351.00, 354.00, 350.00, 351.00, 5000
05/11/18, 354.00, 355.00, 350.00, 354.00, 19000
05/10/18, 370.00, 370.00, 370.00, 370.00, 100
05/09/18, 345.00, 345.00, 345.00, 345.00, 3000
05/04/18, 355.00, 356.00, 355.00, 355.00, 3700
05/03/18, 355.00, 355.00, 355.00, 355.00, 200
05/02/18, 355.00, 355.00, 355.00, 355.00, 300
04/24/18, 355.00, 355.00, 355.00, 355.00, 1000
04/23/18, 355.00, 360.00, 355.00, 355.00, 5000
04/17/18, 361.00, 361.00, 361.00, 361.00, 700
04/16/18, 355.00, 355.00, 355.00, 355.00, 100
04/13/18, 390.00, 390.00, 390.00, 390.00, 100
03/29/18, 360.00, 360.00, 360.00, 360.00, 7000
03/28/18, 356.00, 360.00, 355.00, 356.00, 500
03/27/18, 365.00, 365.00, 365.00, 365.00, 100
03/26/18, 360.00, 360.00, 360.00, 360.00, 100
03/23/18, 355.00, 380.00, 355.00, 355.00, 48400
03/16/18, 360.00, 360.00, 360.00, 360.00, 100
03/09/18, 360.00, 360.00, 360.00, 360.00, 100
03/08/18, 380.00, 380.00, 380.00, 380.00, 100
03/02/18, 390.00, 390.00, 390.00, 390.00, 100
02/21/18, 355.00, 355.00, 355.00, 355.00, 100
02/19/18, 390.00, 390.00, 390.00, 390.00, 100
02/16/18, 355.00, 355.00, 355.00, 355.00, 500
01/30/18, 355.00, 355.00, 355.00, 355.00, 200
01/25/18, 390.00, 390.00, 390.00, 390.00, 100
01/22/18, 355.00, 355.00, 355.00, 355.00, 2600
01/19/18, 355.00, 355.00, 355.00, 355.00, 100
01/18/18, 360.00, 360.00, 360.00, 360.00, 200
01/17/18, 355.00, 355.00, 355.00, 355.00, 100
01/16/18, 355.00, 359.00, 355.00, 355.00, 17700
01/15/18, 355.00, 355.00, 355.00, 355.00, 53900
01/12/18, 350.00, 350.00, 350.00, 350.00, 1800
01/08/18, 359.00, 359.00, 359.00, 359.00, 100
01/05/18, 330.00, 330.00, 330.00, 330.00, 300
12/21/17, 329.00, 329.00, 329.00, 329.00, 100
12/20/17, 329.00, 329.00, 329.00, 329.00, 100
12/14/17, 327.00, 327.00, 327.00, 327.00, 100
12/13/17, 327.00, 327.00, 327.00, 327.00, 4400
12/08/17, 350.00, 350.00, 350.00, 350.00, 3200
12/04/17, 350.00, 350.00, 350.00, 350.00, 100
11/24/17, 350.00, 350.00, 350.00, 350.00, 700
11/23/17, 350.00, 350.00, 350.00, 350.00, 100
11/14/17, 344.00, 345.00, 344.00, 344.00, 1800
11/13/17, 345.00, 345.00, 345.00, 345.00, 100
11/08/17, 345.00, 345.00, 345.00, 345.00, 200
11/06/17, 324.00, 324.00, 324.00, 324.00, 400
11/02/17, 324.00, 324.00, 324.00, 324.00, 200
10/24/17, 330.00, 330.00, 330.00, 330.00, 15000
10/18/17, 325.00, 325.00, 325.00, 325.00, 100
10/11/17, 323.00, 323.00, 323.00, 323.00, 2000
10/09/17, 345.00, 345.00, 345.00, 345.00, 500
10/05/17, 345.00, 345.00, 345.00, 345.00, 100
09/28/17, 330.00, 330.00, 330.00, 330.00, 100
09/20/17, 330.00, 330.00, 330.00, 330.00, 500
09/14/17, 320.00, 320.00, 320.00, 320.00, 100
09/12/17, 320.00, 320.00, 320.00, 320.00, 600
09/08/17, 336.00, 340.00, 335.00, 336.00, 5400
09/06/17, 324.00, 325.00, 319.00, 324.00, 6000
09/01/17, 315.00, 316.00, 315.00, 315.00, 4300
08/07/17, 309.00, 310.00, 305.00, 309.00, 1500
08/01/17, 320.00, 320.00, 320.00, 320.00, 500
07/28/17, 320.00, 320.00, 320.00, 320.00, 1500
07/18/17, 316.00, 320.00, 301.00, 316.00, 3700
07/14/17, 317.00, 317.00, 317.00, 317.00, 100
07/11/17, 319.00, 319.00, 319.00, 319.00, 100
07/10/17, 301.00, 301.00, 301.00, 301.00, 100
07/05/17, 300.00, 300.00, 300.00, 300.00, 2900
07/04/17, 300.00, 300.00, 300.00, 300.00, 800
07/03/17, 319.00, 319.00, 319.00, 319.00, 100
06/30/17, 310.00, 310.00, 310.00, 310.00, 18000
06/27/17, 319.00, 319.00, 319.00, 319.00, 100
06/23/17, 319.00, 319.00, 319.00, 319.00, 100
06/12/17, 294.00, 294.00, 294.00, 294.00, 200
06/08/17, 293.00, 293.00, 293.00, 293.00, 500
05/31/17, 325.00, 325.00, 325.00, 325.00, 13000
05/30/17, 319.00, 320.00, 319.00, 319.00, 900
05/25/17, 319.00, 319.00, 319.00, 319.00, 100
05/24/17, 315.00, 315.00, 315.00, 315.00, 700
05/12/17, 316.00, 324.00, 315.00, 316.00, 1200
05/05/17, 315.00, 315.00, 315.00, 315.00, 1100
05/02/17, 290.00, 290.00, 290.00, 290.00, 1700
04/28/17, 284.00, 284.00, 284.00, 284.00, 500
04/25/17, 309.00, 310.00, 280.00, 309.00, 11600
04/20/17, 310.00, 310.00, 310.00, 310.00, 100
04/19/17, 311.00, 311.00, 311.00, 311.00, 3000
04/12/17, 315.00, 315.00, 315.00, 315.00, 100
04/05/17, 308.00, 308.00, 308.00, 308.00, 800
04/04/17, 308.00, 308.00, 308.00, 308.00, 200
03/31/17, 280.00, 280.00, 280.00, 280.00, 200
03/27/17, 300.00, 300.00, 300.00, 300.00, 100
03/23/17, 300.00, 300.00, 300.00, 300.00, 300
03/20/17, 277.00, 277.00, 277.00, 277.00, 200
03/15/17, 299.00, 300.00, 297.00, 299.00, 10700
03/13/17, 298.00, 298.00, 298.00, 298.00, 300
03/09/17, 271.00, 273.00, 271.00, 271.00, 10000
03/07/17, 273.00, 273.00, 273.00, 273.00, 200
03/01/17, 297.00, 297.00, 297.00, 297.00, 400
02/27/17, 272.00, 272.00, 272.00, 272.00, 300
02/24/17, 297.00, 297.00, 297.00, 297.00, 19900
02/21/17, 270.00, 270.00, 270.00, 270.00, 100
02/10/17, 266.00, 266.00, 266.00, 266.00, 200
02/07/17, 280.00, 280.00, 280.00, 280.00, 300
02/06/17, 285.00, 285.00, 285.00, 285.00, 10200
02/03/17, 281.00, 281.00, 281.00, 281.00, 400
02/01/17, 280.00, 280.00, 280.00, 280.00, 100
01/31/17, 286.00, 286.00, 286.00, 286.00, 200
01/27/17, 307.00, 309.00, 307.00, 307.00, 37500
01/10/17, 281.00, 281.00, 281.00, 281.00, 300
01/09/17, 308.00, 308.00, 308.00, 308.00, 600
